district,block,village,village_code
UDAIPUR,KOTRA 3,PADLAI,053FFB91DAF54189B5041A5C3
JHALAWAR,MANOHARTHANA 1,REECHADI,05519FD58E044E25AF50B4FC1
BARWANI,PANSEMAL,KEVADI,0554157DD9224D55A3DB3027A
CHITRAKOOT,KAUSHAMBI,KOSAM ENAM,0556BC8A20074862B852446F1
UDAIPUR,KOTRA 1,JADI ROYAN,0565A14FF4B74972AFDE991B0
KHARGONE PROJECT 2,KHARGONE,LONARA,05666C7F6DD24168A64B256F7
DHAR,TIRLA,MAFIPURA,05735931FF2747E59D9CE3732
DHAR,DHARAMPURI,FARASPURA,05AF396907C54773AC8277ECD
BANSWARA,ANANDPURI,ANANDPURI,05BCD134D95842C2B95E2897F
SALUMBER,KHERWARA-2,RACHA,05C902D87EBA4C45B39D3B6C7
DHAR,BAGH,MAHAKALPURA,05C96C847B284E17A1DD9C86F
DHAR,TIRLA,BHURIMAL,05CCFF37D16940649EB217D8D
KHANDWA,KHANDWA,CHICHLI BUJURG,05D4DFE2263B4A07833C26476
KHANDWA,KHANDWA,FATEPUR,05E8034A372D4B3FA200217F4
JHALAWAR,AKLERA,HARIPURA8,05F2F74859284F77816E1DFAD
UDAIPUR,BHINDER,MANDESAR,05F878EE0F244406BCB0EC637
BANSWARA,KUSHALGARH 2,SARPOTA,060D1D9B1053401A85BE3B27F
JHABUA,JHABUA,KALIYA BADA,0610385E5CA44F9DB1B1F1188
DHAR,MANAVAR,BUDIYAKHEDI,063199B0C5234F2D9B63E01E8
JHABUA,RAMA,MOHANPURA GANNA,06323FB945BB4627B94538D91
JHALAWAR,JHALARAPATAN 1,JAGGANNATHPURI,0639D917C98348E99E91F6166
BANSWARA,GARHI,AKHEPANJI KA GADA,064610BD15F04F5B9E749A2E0
BARWANI,SENDHWA 2,BAKHTARIYA,0649EFE48B7E4386A2B165F9E
ALIRAJPUR,SONDWA-2,JAMALI,0661ADF9D3F540B8831FF0D69
KHANDWA,KILLOD,KHAMLA,0664D25407D4436F9BCC0CB16
KHANDWA,CHHAIHGAON MAKHAN,SIRRA,067581BC99C646B28EBCF4F62
JHALAWAR,DAG 1,KHOKHARIYA KALAN,0682B078E0384CF5AB3D5D726
JHALAWAR,BHAWANIMANDI,BHENSANI,068CE828E1D047AF9503731AD
UDAIPUR,MAVLI,DANA RETADA,0690125E085D46749962F9767
UDAIPUR,MAVLI,GHASA,0690CC64B3BC45999D83690EE
DHAR,BAGH,KARANPURA,0691A17ADE7449069A76067F4
BHILWARA,MANDALGARH,BIGOD,06996E070EFC431285D1BD002
KHALWA,KHALWA,KALAAM KALA,06B099BE00824AB480195CCD2
KHANDWA,PUNASA,KODBAR,06BE0C09B80043F7A988B7547
UDAIPUR,MAVLI,VICKRNI,06BFF9B3103448EE8E31A219F
SIDHI,SIHAWAL,SIHAULIYA,06C8D0FE5618417F9B488E3B7
DHAR,MANAVAR,SITAPURI,06D1B43955F2410F8F49F8321
DHAR,KUKSHI,LONI,06E3C2EADEFB4806A94D7B238
DHAR,TIRLA,KARENI,06E7D913ECCB44DC98A8E9342
DHAR,SARDARPUR-1,UNDELI,07020EBD7EE14725AE32F4636
UDAIPUR,MAVLI,NANDOLI KHURD,0704C55FCB164D66A7341D576
BANSWARA,GANGADTALAI,KUNDA,070A7216CEB2475D8A34A7DC6
JHABUA,RANAPUR,KUSHALPURA,071076C4EA8D4A459EA9AE097
KHARGONE PROJECT 1,BHAGWANPURA 2,KADAWALI,0716A9D7912546A2B3324359B
